Parti, Kandidat, Spørgsmål, Svar
B, Lartey Lawson, 11, 3
B, Lartey Lawson, 12, 3
B, Lartey Lawson, 13, 1
B, Lartey Lawson, 14, 1
B, Lartey Lawson, 15, 2
B, Lartey Lawson, 16, 4
B, Lartey Lawson, 17, 3
B, Lartey Lawson, 18, 3
B, Lartey Lawson, 19, 1
B, Lartey Lawson, 20, 4
B, Lartey Lawson, 21, 4
B, Lartey Lawson, 22, 4
B, Lartey Lawson, 23, 3
B, Lartey Lawson, 24, 2
B, Lartey Lawson, 25, 4
C, Niels Flemming Hansen, 1, 3
C, Niels Flemming Hansen, 2, 2
C, Niels Flemming Hansen, 3, 2
C, Niels Flemming Hansen, 4, 4
C, Niels Flemming Hansen, 5, 2
C, Niels Flemming Hansen, 6, 2
C, Niels Flemming Hansen, 7, 3
C, Niels Flemming Hansen, 8, 3
C, Niels Flemming Hansen, 9, 2
C, Niels Flemming Hansen, 10, 3
C, Niels Flemming Hansen, 11, 3
C, Niels Flemming Hansen, 12, 3
C, Niels Flemming Hansen, 13, 4
C, Niels Flemming Hansen, 14, 2
C, Niels Flemming Hansen, 15, 4
C, Niels Flemming Hansen, 16, 2
C, Niels Flemming Hansen, 17, 3
C, Niels Flemming Hansen, 18, 2
C, Niels Flemming Hansen, 19, 4
C, Niels Flemming Hansen, 20, 1
C, Niels Flemming Hansen, 21, 3
C, Niels Flemming Hansen, 22, 2
C, Niels Flemming Hansen, 23, 1
C, Niels Flemming Hansen, 24, 3
C, Niels Flemming Hansen, 25, 2
C, Marcus Knuth, 1, 3
C, Marcus Knuth, 2, 2
C, Marcus Knuth, 3, 3
C, Marcus Knuth, 4, 3
C, Marcus Knuth, 5, 2
C, Marcus Knuth, 6, 2
C, Marcus Knuth, 7, 3
C, Marcus Knuth, 8, 3
C, Marcus Knuth, 9, 2
C, Marcus Knuth, 10, 3
C, Marcus Knuth, 11, 2
C, Marcus Knuth, 12, 4
C, Marcus Knuth, 13, 3
C, Marcus Knuth, 14, 2
C, Marcus Knuth, 15, 4
C, Marcus Knuth, 16, 3
C, Marcus Knuth, 17, 2
C, Marcus Knuth, 18, 3
C, Marcus Knuth, 19, 4
C, Marcus Knuth, 20, 1
C, Marcus Knuth, 21, 4
C, Marcus Knuth, 22, 2
C, Marcus Knuth, 23, 1
C, Marcus Knuth, 24, 2
C, Marcus Knuth, 25, 2
C, Birgitte Bergman, 1, 4
C, Birgitte Bergman, 2, 2
C, Birgitte Bergman, 3, 2
C, Birgitte Bergman, 4, 4
C, Birgitte Bergman, 5, 3
C, Birgitte Bergman, 6, 2
C, Birgitte Bergman, 7, 3
C, Birgitte Bergman, 8, 3
C, Birgitte Bergman, 9, 1
C, Birgitte Bergman, 10, 4
C, Birgitte Bergman, 11, 3
C, Birgitte Bergman, 12, 4
C, Birgitte Bergman, 13, 4
C, Birgitte Bergman, 14, 2
C, Birgitte Bergman, 15, 4
C, Birgitte Bergman, 16, 3
C, Birgitte Bergman, 17, 4
C, Birgitte Bergman, 18, 2
C, Birgitte Bergman, 19, 4
C, Birgitte Bergman, 20, 1
C, Birgitte Bergman, 21, 3
C, Birgitte Bergman, 22, 3
C, Birgitte Bergman, 23, 1
C, Birgitte Bergman, 24, 2
C, Birgitte Bergman, 25, 1
C, Maria Pryds, 1, 3
C, Maria Pryds, 2, 2
C, Maria Pryds, 3, 2
C, Maria Pryds, 4, 3
C, Maria Pryds, 5, 1
C, Maria Pryds, 6, 2
C, Maria Pryds, 7, 4
C, Maria Pryds, 8, 3
C, Maria Pryds, 9, 2
C, Maria Pryds, 10, 3
C, Maria Pryds, 11, 2
C, Maria Pryds, 12, 4
C, Maria Pryds, 13, 3
C, Maria Pryds, 14, 2
C, Maria Pryds, 15, 4
C, Maria Pryds, 16, 3
C, Maria Pryds, 17, 3
C, Maria Pryds, 18, 3
C, Maria Pryds, 19, 4
C, Maria Pryds, 20, 1
C, Maria Pryds, 21, 3
C, Maria Pryds, 22, 3
C, Maria Pryds, 23, 1
C, Maria Pryds, 24, 2
C, Maria Pryds, 25, 2
C, Steen Holm Iversen, 1, 4
C, Steen Holm Iversen, 2, 2
C, Steen Holm Iversen, 3, 3
C, Steen Holm Iversen, 4, 3
C, Steen Holm Iversen, 5, 3
C, Steen Holm Iversen, 6, 3
C, Steen Holm Iversen, 7, 4
C, Steen Holm Iversen, 8, 3
C, Steen Holm Iversen, 9, 1
C, Steen Holm Iversen, 10, 4
C, Steen Holm Iversen, 11, 3
C, Steen Holm Iversen, 12, 4
C, Steen Holm Iversen, 13, 3
C, Steen Holm Iversen, 14, 1
C, Steen Holm Iversen, 15, 4
C, Steen Holm Iversen, 16, 2
C, Steen Holm Iversen, 17, 3
C, Steen Holm Iversen, 18, 4
C, Steen Holm Iversen, 19, 3
C, Steen Holm Iversen, 20, 1
C, Steen Holm Iversen, 21, 4
C, Steen Holm Iversen, 22, 3
C, Steen Holm Iversen, 23, 1
C, Steen Holm Iversen, 24, 3
C, Steen Holm Iversen, 25, 2
C, Tina-Mia Eriksen, 1, 3
C, Tina-Mia Eriksen, 2, 2
C, Tina-Mia Eriksen, 3, 3
C, Tina-Mia Eriksen, 4, 2
C, Tina-Mia Eriksen, 5, 2
C, Tina-Mia Eriksen, 6, 2
C, Tina-Mia Eriksen, 7, 3
C, Tina-Mia Eriksen, 8, 3
C, Tina-Mia Eriksen, 9, 2
C, Tina-Mia Eriksen, 10, 2
C, Tina-Mia Eriksen, 11, 2
C, Tina-Mia Eriksen, 12, 2
C, Tina-Mia Eriksen, 13, 3
C, Tina-Mia Eriksen, 14, 3
C, Tina-Mia Eriksen, 15, 4
C, Tina-Mia Eriksen, 16, 3
C, Tina-Mia Eriksen, 17, 3
C, Tina-Mia Eriksen, 18, 3
C, Tina-Mia Eriksen, 19, 3
C, Tina-Mia Eriksen, 20, 2
C, Tina-Mia Eriksen, 21, 3
C, Tina-Mia Eriksen, 22, 2
C, Tina-Mia Eriksen, 23, 2
C, Tina-Mia Eriksen, 24, 2
C, Tina-Mia Eriksen, 25, 2
C, Søren Friis Trebbien, 1, 4
C, Søren Friis Trebbien, 2, 1
C, Søren Friis Trebbien, 3, 3
C, Søren Friis Trebbien, 4, 3
C, Søren Friis Trebbien, 5, 4
C, Søren Friis Trebbien, 6, 2
C, Søren Friis Trebbien, 7, 3
C, Søren Friis Trebbien, 8, 3
C, Søren Friis Trebbien, 9, 2
C, Søren Friis Trebbien, 10, 3
C, Søren Friis Trebbien, 11, 3
C, Søren Friis Trebbien, 12, 4
C, Søren Friis Trebbien, 13, 3
C, Søren Friis Trebbien, 14, 2
C, Søren Friis Trebbien, 15, 2
C, Søren Friis Trebbien, 16, 3
C, Søren Friis Trebbien, 17, 3
C, Søren Friis Trebbien, 18, 3
C, Søren Friis Trebbien, 19, 3
C, Søren Friis Trebbien, 20, 2
C, Søren Friis Trebbien, 21, 3
C, Søren Friis Trebbien, 22, 4
C, Søren Friis Trebbien, 23, 3
C, Søren Friis Trebbien, 24, 3
C, Søren Friis Trebbien, 25, 2
C, Jacob Rosenberg, 1, 4
C, Jacob Rosenberg, 2, 2
C, Jacob Rosenberg, 3, 4
C, Jacob Rosenberg, 4, 4
C, Jacob Rosenberg, 5, 2
C, Jacob Rosenberg, 6, 2
C, Jacob Rosenberg, 7, 3
C, Jacob Rosenberg, 8, 3
C, Jacob Rosenberg, 9, 2
C, Jacob Rosenberg, 10, 3
C, Jacob Rosenberg, 11, 3
C, Jacob Rosenberg, 12, 4
C, Jacob Rosenberg, 13, 4
C, Jacob Rosenberg, 14, 3
C, Jacob Rosenberg, 15, 2
C, Jacob Rosenberg, 16, 2
C, Jacob Rosenberg, 17, 2
C, Jacob Rosenberg, 18, 2
C, Jacob Rosenberg, 19, 4
C, Jacob Rosenberg, 20, 1
C, Jacob Rosenberg, 21, 4
C, Jacob Rosenberg, 22, 4
C, Jacob Rosenberg, 23, 1
C, Jacob Rosenberg, 24, 3
C, Jacob Rosenberg, 25, 1
C, Natasja Bruun Knudsen, 1, 3
C, Natasja Bruun Knudsen, 2, 2
C, Natasja Bruun Knudsen, 3, 3
C, Natasja Bruun Knudsen, 4, 4
C, Natasja Bruun Knudsen, 5, 2
C, Natasja Bruun Knudsen, 6, 2
C, Natasja Bruun Knudsen, 7, 3
C, Natasja Bruun Knudsen, 8, 3
C, Natasja Bruun Knudsen, 9, 2
C, Natasja Bruun Knudsen, 10, 4
C, Natasja Bruun Knudsen, 11, 3
C, Natasja Bruun Knudsen, 12, 4
C, Natasja Bruun Knudsen, 13, 2
C, Natasja Bruun Knudsen, 14, 2
C, Natasja Bruun Knudsen, 15, 3
C, Natasja Bruun Knudsen, 16, 2
C, Natasja Bruun Knudsen, 17, 3
C, Natasja Bruun Knudsen, 18, 3
C, Natasja Bruun Knudsen, 19, 4
C, Natasja Bruun Knudsen, 20, 1
C, Natasja Bruun Knudsen, 21, 4
C, Natasja Bruun Knudsen, 22, 3
C, Natasja Bruun Knudsen, 23, 1
C, Natasja Bruun Knudsen, 24, 2
C, Natasja Bruun Knudsen, 25, 2
C, Egil Fabritius Hulgaard, 1, 4
C, Egil Fabritius Hulgaard, 2, 2
C, Egil Fabritius Hulgaard, 3, 2
C, Egil Fabritius Hulgaard, 4, 3
C, Egil Fabritius Hulgaard, 5, 3
C, Egil Fabritius Hulgaard, 6, 3
C, Egil Fabritius Hulgaard, 7, 3
C, Egil Fabritius Hulgaard, 8, 3
C, Egil Fabritius Hulgaard, 9, 2
C, Egil Fabritius Hulgaard, 10, 3
C, Egil Fabritius Hulgaard, 11, 3
C, Egil Fabritius Hulgaard, 12, 3
C, Egil Fabritius Hulgaard, 13, 3
C, Egil Fabritius Hulgaard, 14, 2
C, Egil Fabritius Hulgaard, 15, 3
C, Egil Fabritius Hulgaard, 16, 2
C, Egil Fabritius Hulgaard, 17, 2
C, Egil Fabritius Hulgaard, 18, 3
C, Egil Fabritius Hulgaard, 19, 3
C, Egil Fabritius Hulgaard, 20, 1
C, Egil Fabritius Hulgaard, 21, 3
C, Egil Fabritius Hulgaard, 22, 3
C, Egil Fabritius Hulgaard, 23, 1
C, Egil Fabritius Hulgaard, 24, 2
C, Egil Fabritius Hulgaard, 25, 3
C, Helle Laursen Petersen, 1, 4
C, Helle Laursen Petersen, 2, 1
C, Helle Laursen Petersen, 3, 2
C, Helle Laursen Petersen, 4, 3
C, Helle Laursen Petersen, 5, 3
C, Helle Laursen Petersen, 6, 2
C, Helle Laursen Petersen, 7, 3
C, Helle Laursen Petersen, 8, 3
C, Helle Laursen Petersen, 9, 3
C, Helle Laursen Petersen, 10, 3
C, Helle Laursen Petersen, 11, 2
C, Helle Laursen Petersen, 12, 3
C, Helle Laursen Petersen, 13, 3
C, Helle Laursen Petersen, 14, 2
C, Helle Laursen Petersen, 15, 2
C, Helle Laursen Petersen, 16, 3
C, Helle Laursen Petersen, 17, 2
C, Helle Laursen Petersen, 18, 3
C, Helle Laursen Petersen, 19, 3
C, Helle Laursen Petersen, 20, 1
C, Helle Laursen Petersen, 21, 3
C, Helle Laursen Petersen, 22, 2
C, Helle Laursen Petersen, 23, 2
C, Helle Laursen Petersen, 24, 2
C, Helle Laursen Petersen, 25, 3
C, Manuel Vigilius, 1, 3
C, Manuel Vigilius, 2, 2
C, Manuel Vigilius, 3, 2
C, Manuel Vigilius, 4, 3
C, Manuel Vigilius, 5, 2
C, Manuel Vigilius, 6, 2
C, Manuel Vigilius, 7, 4
C, Manuel Vigilius, 8, 2
C, Manuel Vigilius, 9, 2
C, Manuel Vigilius, 10, 4
C, Manuel Vigilius, 11, 2
C, Manuel Vigilius, 12, 3
C, Manuel Vigilius, 13, 4
C, Manuel Vigilius, 14, 2
C, Manuel Vigilius, 15, 4
C, Manuel Vigilius, 16, 2
C, Manuel Vigilius, 17, 3
C, Manuel Vigilius, 18, 2
C, Manuel Vigilius, 19, 4
C, Manuel Vigilius, 20, 1
C, Manuel Vigilius, 21, 2
C, Manuel Vigilius, 22, 1
C, Manuel Vigilius, 23, 1
C, Manuel Vigilius, 24, 2
C, Manuel Vigilius, 25, 2
C, Barbara Engelstoft, 1, 4
C, Barbara Engelstoft, 2, 1
C, Barbara Engelstoft, 3, 3
C, Barbara Engelstoft, 4, 4
C, Barbara Engelstoft, 5, 4
C, Barbara Engelstoft, 6, 3
C, Barbara Engelstoft, 7, 3
C, Barbara Engelstoft, 8, 3
C, Barbara Engelstoft, 9, 2
C, Barbara Engelstoft, 10, 2
C, Barbara Engelstoft, 11, 2
C, Barbara Engelstoft, 12, 4
C, Barbara Engelstoft, 13, 3
C, Barbara Engelstoft, 14, 1
C, Barbara Engelstoft, 15, 2
C, Barbara Engelstoft, 16, 2
C, Barbara Engelstoft, 17, 3
C, Barbara Engelstoft, 18, 3
C, Barbara Engelstoft, 19, 3
C, Barbara Engelstoft, 20, 2
C, Barbara Engelstoft, 21, 3
C, Barbara Engelstoft, 22, 2
C, Barbara Engelstoft, 23, 2
C, Barbara Engelstoft, 24, 3
C, Barbara Engelstoft, 25, 3
C, Nicklas Verne, 1, 4
C, Nicklas Verne, 2, 2
C, Nicklas Verne, 3, 3
C, Nicklas Verne, 4, 4
C, Nicklas Verne, 5, 2
C, Nicklas Verne, 6, 2
C, Nicklas Verne, 7, 4
C, Nicklas Verne, 8, 4
C, Nicklas Verne, 9, 2
C, Nicklas Verne, 10, 3
C, Nicklas Verne, 11, 2
C, Nicklas Verne, 12, 3
C, Nicklas Verne, 13, 2
C, Nicklas Verne, 14, 2
C, Nicklas Verne, 15, 2
C, Nicklas Verne, 16, 2
C, Nicklas Verne, 17, 3
C, Nicklas Verne, 18, 3
C, Nicklas Verne, 19, 3
C, Nicklas Verne, 20, 1
C, Nicklas Verne, 21, 3
C, Nicklas Verne, 22, 2
C, Nicklas Verne, 23, 2
C, Nicklas Verne, 24, 1
C, Nicklas Verne, 25, 2
C, Vladimir Stanic, 1, 3
C, Vladimir Stanic, 2, 2
C, Vladimir Stanic, 3, 3
C, Vladimir Stanic, 4, 3
C, Vladimir Stanic, 5, 2
C, Vladimir Stanic, 6, 2
C, Vladimir Stanic, 7, 3
C, Vladimir Stanic, 8, 3
C, Vladimir Stanic, 9, 2
C, Vladimir Stanic, 10, 3
C, Vladimir Stanic, 11, 3
C, Vladimir Stanic, 12, 3
C, Vladimir Stanic, 13, 3
C, Vladimir Stanic, 14, 2
C, Vladimir Stanic, 15, 3
C, Vladimir Stanic, 16, 3
C, Vladimir Stanic, 17, 3
C, Vladimir Stanic, 18, 2
C, Vladimir Stanic, 19, 3
C, Vladimir Stanic, 20, 1
C, Vladimir Stanic, 21, 2
C, Vladimir Stanic, 22, 3
C, Vladimir Stanic, 23, 2
C, Vladimir Stanic, 24, 2
C, Vladimir Stanic, 25, 3
C, Elisabeth Ildal, 1, 3
C, Elisabeth Ildal, 2, 2
C, Elisabeth Ildal, 3, 2
C, Elisabeth Ildal, 4, 4
C, Elisabeth Ildal, 5, 3
C, Elisabeth Ildal, 6, 2
C, Elisabeth Ildal, 7, 3
C, Elisabeth Ildal, 8, 2
C, Elisabeth Ildal, 9, 2
C, Elisabeth Ildal, 10, 3
C, Elisabeth Ildal, 11, 2
C, Elisabeth Ildal, 12, 3
C, Elisabeth Ildal, 13, 3
C, Elisabeth Ildal, 14, 1
C, Elisabeth Ildal, 15, 3
C, Elisabeth Ildal, 16, 3
C, Elisabeth Ildal, 17, 3
C, Elisabeth Ildal, 18, 3
C, Elisabeth Ildal, 19, 4
C, Elisabeth Ildal, 20, 1
C, Elisabeth Ildal, 21, 4
C, Elisabeth Ildal, 22, 3
C, Elisabeth Ildal, 23, 2
C, Elisabeth Ildal, 24, 3
C, Elisabeth Ildal, 25, 2
C, Martin Vendel Nielsen, 1, 4
C, Martin Vendel Nielsen, 2, 2
C, Martin Vendel Nielsen, 3, 2
C, Martin Vendel Nielsen, 4, 3
C, Martin Vendel Nielsen, 5, 3
C, Martin Vendel Nielsen, 6, 3
C, Martin Vendel Nielsen, 7, 4
C, Martin Vendel Nielsen, 8, 2
C, Martin Vendel Nielsen, 9, 1
C, Martin Vendel Nielsen, 10, 3
C, Martin Vendel Nielsen, 11, 3
C, Martin Vendel Nielsen, 12, 3
C, Martin Vendel Nielsen, 13, 3
C, Martin Vendel Nielsen, 14, 1
C, Martin Vendel Nielsen, 15, 4
C, Martin Vendel Nielsen, 16, 1
C, Martin Vendel Nielsen, 17, 3
C, Martin Vendel Nielsen, 18, 3
C, Martin Vendel Nielsen, 19, 4
C, Martin Vendel Nielsen, 20, 1
C, Martin Vendel Nielsen, 21, 4
C, Martin Vendel Nielsen, 22, 3
C, Martin Vendel Nielsen, 23, 1
C, Martin Vendel Nielsen, 24, 3
C, Martin Vendel Nielsen, 25, 1
C, John Hoppe, 1, 4
C, John Hoppe, 2, 2
C, John Hoppe, 3, 3
C, John Hoppe, 4, 4
C, John Hoppe, 5, 1
C, John Hoppe, 6, 3
C, John Hoppe, 7, 4
C, John Hoppe, 8, 3
C, John Hoppe, 9, 1
C, John Hoppe, 10, 4
C, John Hoppe, 11, 3
C, John Hoppe, 12, 4
C, John Hoppe, 13, 4
C, John Hoppe, 14, 2
C, John Hoppe, 15, 4
C, John Hoppe, 16, 2
C, John Hoppe, 17, 3
C, John Hoppe, 18, 3
C, John Hoppe, 19, 4
C, John Hoppe, 20, 1
C, John Hoppe, 21, 4
C, John Hoppe, 22, 4
C, John Hoppe, 23, 1
C, John Hoppe, 24, 3
C, John Hoppe, 25, 3
C, Jacob Stryhn, 1, 4
C, Jacob Stryhn, 2, 2
C, Jacob Stryhn, 3, 3
C, Jacob Stryhn, 4, 3
C, Jacob Stryhn, 5, 3
C, Jacob Stryhn, 6, 2
C, Jacob Stryhn, 7, 3
C, Jacob Stryhn, 8, 3
C, Jacob Stryhn, 9, 1
C, Jacob Stryhn, 10, 4
C, Jacob Stryhn, 11, 2
C, Jacob Stryhn, 12, 4
C, Jacob Stryhn, 13, 4
C, Jacob Stryhn, 14, 1
C, Jacob Stryhn, 15, 4
C, Jacob Stryhn, 16, 3
C, Jacob Stryhn, 17, 3
C, Jacob Stryhn, 18, 3
C, Jacob Stryhn, 19, 4
C, Jacob Stryhn, 20, 1
C, Jacob Stryhn, 21, 3
C, Jacob Stryhn, 22, 3
C, Jacob Stryhn, 23, 1
C, Jacob Stryhn, 24, 3
C, Jacob Stryhn, 25, 2
F, Kira Marie Peter-Hansen, 1, 4
F, Kira Marie Peter-Hansen, 2, 1
F, Kira Marie Peter-Hansen, 3, 3
F, Kira Marie Peter-Hansen, 4, 4
F, Kira Marie Peter-Hansen, 5, 4
F, Kira Marie Peter-Hansen, 6, 3
F, Kira Marie Peter-Hansen, 7, 2
F, Kira Marie Peter-Hansen, 8, 4
F, Kira Marie Peter-Hansen, 9, 1
F, Kira Marie Peter-Hansen, 10, 2
F, Kira Marie Peter-Hansen, 11, 3
F, Kira Marie Peter-Hansen, 12, 4
F, Kira Marie Peter-Hansen, 13, 3
F, Kira Marie Peter-Hansen, 14, 1
F, Kira Marie Peter-Hansen, 15, 3
F, Kira Marie Peter-Hansen, 16, 4
F, Kira Marie Peter-Hansen, 17, 4
F, Kira Marie Peter-Hansen, 18, 2
F, Kira Marie Peter-Hansen, 19, 3
F, Kira Marie Peter-Hansen, 20, 4
F, Kira Marie Peter-Hansen, 21, 4
F, Kira Marie Peter-Hansen, 22, 3
F, Kira Marie Peter-Hansen, 23, 3
F, Kira Marie Peter-Hansen, 24, 3
F, Kira Marie Peter-Hansen, 25, 4
F, Rasmus Nordqvist, 1, 4
F, Rasmus Nordqvist, 2, 1
F, Rasmus Nordqvist, 3, 3
F, Rasmus Nordqvist, 4, 4
F, Rasmus Nordqvist, 5, 4
F, Rasmus Nordqvist, 6, 3
F, Rasmus Nordqvist, 7, 1
F, Rasmus Nordqvist, 8, 4
F, Rasmus Nordqvist, 9, 1
F, Rasmus Nordqvist, 10, 1
F, Rasmus Nordqvist, 11, 3
F, Rasmus Nordqvist, 12, 4
F, Rasmus Nordqvist, 13, 3
F, Rasmus Nordqvist, 14, 1
F, Rasmus Nordqvist, 15, 3
F, Rasmus Nordqvist, 16, 4
F, Rasmus Nordqvist, 17, 4
F, Rasmus Nordqvist, 18, 1
F, Rasmus Nordqvist, 19, 3
F, Rasmus Nordqvist, 20, 4
F, Rasmus Nordqvist, 21, 4
F, Rasmus Nordqvist, 22, 4
F, Rasmus Nordqvist, 23, 4
F, Rasmus Nordqvist, 24, 3
F, Rasmus Nordqvist, 25, 4
F, Villy Søvndal, 1, 4
F, Villy Søvndal, 2, 1
F, Villy Søvndal, 3, 3
F, Villy Søvndal, 4, 4
F, Villy Søvndal, 5, 4
F, Villy Søvndal, 6, 4
F, Villy Søvndal, 7, 1
F, Villy Søvndal, 8, 4
F, Villy Søvndal, 9, 1
F, Villy Søvndal, 10, 1
F, Villy Søvndal, 11, 4
F, Villy Søvndal, 12, 4
F, Villy Søvndal, 13, 3
F, Villy Søvndal, 14, 1
F, Villy Søvndal, 15, 1
F, Villy Søvndal, 16, 4
F, Villy Søvndal, 17, 4
F, Villy Søvndal, 18, 2
F, Villy Søvndal, 19, 1
F, Villy Søvndal, 20, 4
F, Villy Søvndal, 21, 3
F, Villy Søvndal, 22, 4
F, Villy Søvndal, 23, 4
F, Villy Søvndal, 24, 2
F, Villy Søvndal, 25, 4
F, Rikke Lauritsen, 1, 4
F, Rikke Lauritsen, 2, 1
F, Rikke Lauritsen, 3, 3
F, Rikke Lauritsen, 4, 4
F, Rikke Lauritsen, 5, 4
F, Rikke Lauritsen, 6, 4
F, Rikke Lauritsen, 7, 1
F, Rikke Lauritsen, 8, 4
F, Rikke Lauritsen, 9, 1
F, Rikke Lauritsen, 10, 2
F, Rikke Lauritsen, 11, 4
F, Rikke Lauritsen, 12, 3
F, Rikke Lauritsen, 13, 3
F, Rikke Lauritsen, 14, 1
F, Rikke Lauritsen, 15, 3
F, Rikke Lauritsen, 16, 4
F, Rikke Lauritsen, 17, 4
F, Rikke Lauritsen, 18, 1
F, Rikke Lauritsen, 19, 2
F, Rikke Lauritsen, 20, 4
F, Rikke Lauritsen, 21, 4
F, Rikke Lauritsen, 22, 3
F, Rikke Lauritsen, 23, 4
F, Rikke Lauritsen, 24, 3
F, Rikke Lauritsen, 25, 4
F, Magnus Flensborg, 1, 4
F, Magnus Flensborg, 2, 1
F, Magnus Flensborg, 3, 3
F, Magnus Flensborg, 4, 4
F, Magnus Flensborg, 5, 4
F, Magnus Flensborg, 6, 3
F, Magnus Flensborg, 7, 2
F, Magnus Flensborg, 8, 4
F, Magnus Flensborg, 9, 1
F, Magnus Flensborg, 10, 1
F, Magnus Flensborg, 11, 3
F, Magnus Flensborg, 12, 3
F, Magnus Flensborg, 13, 2
F, Magnus Flensborg, 14, 2
F, Magnus Flensborg, 15, 3
F, Magnus Flensborg, 16, 4
F, Magnus Flensborg, 17, 4
F, Magnus Flensborg, 18, 2
F, Magnus Flensborg, 19, 2
F, Magnus Flensborg, 20, 4
F, Magnus Flensborg, 21, 4
F, Magnus Flensborg, 22, 4
F, Magnus Flensborg, 23, 3
F, Magnus Flensborg, 24, 2
F, Magnus Flensborg, 25, 4
F, Kristine Amalie Rostgård, 1, 4
F, Kristine Amalie Rostgård, 2, 1
F, Kristine Amalie Rostgård, 3, 3
F, Kristine Amalie Rostgård, 4, 4
F, Kristine Amalie Rostgård, 5, 4
F, Kristine Amalie Rostgård, 6, 3
F, Kristine Amalie Rostgård, 7, 2
F, Kristine Amalie Rostgård, 8, 4
F, Kristine Amalie Rostgård, 9, 1
F, Kristine Amalie Rostgård, 10, 2
F, Kristine Amalie Rostgård, 11, 3
F, Kristine Amalie Rostgård, 12, 3
F, Kristine Amalie Rostgård, 13, 2
F, Kristine Amalie Rostgård, 14, 2
F, Kristine Amalie Rostgård, 15, 3
F, Kristine Amalie Rostgård, 16, 4
F, Kristine Amalie Rostgård, 17, 4
F, Kristine Amalie Rostgård, 18, 2
F, Kristine Amalie Rostgård, 19, 3
F, Kristine Amalie Rostgård, 20, 3
F, Kristine Amalie Rostgård, 21, 4
F, Kristine Amalie Rostgård, 22, 3
F, Kristine Amalie Rostgård, 23, 3
F, Kristine Amalie Rostgård, 24, 3
F, Kristine Amalie Rostgård, 25, 4
F, Melina Andersen, 1, 3
F, Melina Andersen, 2, 1
F, Melina Andersen, 3, 3
F, Melina Andersen, 4, 4
F, Melina Andersen, 5, 4
F, Melina Andersen, 6, 4
F, Melina Andersen, 7, 2
F, Melina Andersen, 8, 4
F, Melina Andersen, 9, 1
F, Melina Andersen, 10, 2
F, Melina Andersen, 11, 3
F, Melina Andersen, 12, 4
F, Melina Andersen, 13, 3
F, Melina Andersen, 14, 2
F, Melina Andersen, 15, 4
F, Melina Andersen, 16, 4
F, Melina Andersen, 17, 4
F, Melina Andersen, 18, 2
F, Melina Andersen, 19, 3
F, Melina Andersen, 20, 4
F, Melina Andersen, 21, 4
F, Melina Andersen, 22, 4
F, Melina Andersen, 23, 3
F, Melina Andersen, 24, 3
F, Melina Andersen, 25, 4
F, Taner Genc, 1, 4
F, Taner Genc, 2, 2
F, Taner Genc, 3, 3
F, Taner Genc, 4, 4
F, Taner Genc, 5, 4
F, Taner Genc, 6, 3
F, Taner Genc, 7, 1
F, Taner Genc, 8, 4
F, Taner Genc, 9, 1
F, Taner Genc, 10, 2
F, Taner Genc, 11, 3
F, Taner Genc, 12, 4
F, Taner Genc, 13, 2
F, Taner Genc, 14, 2
F, Taner Genc, 15, 3
F, Taner Genc, 16, 4
F, Taner Genc, 17, 3
F, Taner Genc, 18, 2
F, Taner Genc, 19, 3
F, Taner Genc, 20, 4
F, Taner Genc, 21, 4
F, Taner Genc, 22, 4
F, Taner Genc, 23, 3
F, Taner Genc, 24, 3
F, Taner Genc, 25, 4
F, Andreas Grosbøll, 1, 4
F, Andreas Grosbøll, 2, 1
F, Andreas Grosbøll, 3, 4
F, Andreas Grosbøll, 4, 4
F, Andreas Grosbøll, 5, 3
F, Andreas Grosbøll, 6, 3
F, Andreas Grosbøll, 7, 1
F, Andreas Grosbøll, 8, 4
F, Andreas Grosbøll, 9, 1
F, Andreas Grosbøll, 10, 2
F, Andreas Grosbøll, 11, 3
F, Andreas Grosbøll, 12, 3
F, Andreas Grosbøll, 13, 3
F, Andreas Grosbøll, 14, 2
F, Andreas Grosbøll, 15, 2
F, Andreas Grosbøll, 16, 4
F, Andreas Grosbøll, 17, 4
F, Andreas Grosbøll, 18, 2
F, Andreas Grosbøll, 19, 2
F, Andreas Grosbøll, 20, 3
F, Andreas Grosbøll, 21, 4
F, Andreas Grosbøll, 22, 4
F, Andreas Grosbøll, 23, 4
F, Andreas Grosbøll, 24, 4
F, Andreas Grosbøll, 25, 4
F, Michael Egelund Andersen, 1, 4
F, Michael Egelund Andersen, 2, 1
F, Michael Egelund Andersen, 3, 3
F, Michael Egelund Andersen, 4, 4
F, Michael Egelund Andersen, 5, 4
F, Michael Egelund Andersen, 6, 3
F, Michael Egelund Andersen, 7, 2
F, Michael Egelund Andersen, 8, 4
F, Michael Egelund Andersen, 9, 1
F, Michael Egelund Andersen, 10, 2
F, Michael Egelund Andersen, 11, 3
F, Michael Egelund Andersen, 12, 4
F, Michael Egelund Andersen, 13, 3
F, Michael Egelund Andersen, 14, 1
F, Michael Egelund Andersen, 15, 3
F, Michael Egelund Andersen, 16, 4
F, Michael Egelund Andersen, 17, 4
F, Michael Egelund Andersen, 18, 2
F, Michael Egelund Andersen, 19, 3
F, Michael Egelund Andersen, 20, 4
F, Michael Egelund Andersen, 21, 4
F, Michael Egelund Andersen, 22, 4
F, Michael Egelund Andersen, 23, 2
F, Michael Egelund Andersen, 24, 2
