Kandidat, Spørgsmål, Svar
Maria Pryds, 3, 2
Maria Pryds, 4, 3
Maria Pryds, 5, 1
Maria Pryds, 6, 2
Maria Pryds, 7, 4
Maria Pryds, 8, 3
Maria Pryds, 9, 2
Maria Pryds, 10, 3
Maria Pryds, 11, 2
Maria Pryds, 12, 4
Maria Pryds, 13, 3
Maria Pryds, 14, 2
Maria Pryds, 15, 4
Maria Pryds, 16, 3
Maria Pryds, 17, 3
Maria Pryds, 18, 3
Maria Pryds, 19, 4
Maria Pryds, 20, 1
Maria Pryds, 21, 3
Maria Pryds, 22, 3
Maria Pryds, 23, 1
Maria Pryds, 24, 2
Maria Pryds, 25, 2
Steen Holm Iversen, 1, 4
Steen Holm Iversen, 2, 2
Steen Holm Iversen, 3, 3
Steen Holm Iversen, 4, 3
Steen Holm Iversen, 5, 3
Steen Holm Iversen, 6, 3
Steen Holm Iversen, 7, 4
Steen Holm Iversen, 8, 3
Steen Holm Iversen, 9, 1
Steen Holm Iversen, 10, 4
Steen Holm Iversen, 11, 3
Steen Holm Iversen, 12, 4
Steen Holm Iversen, 13, 3
Steen Holm Iversen, 14, 1
Steen Holm Iversen, 15, 4
Steen Holm Iversen, 16, 2
Steen Holm Iversen, 17, 3
Steen Holm Iversen, 18, 4
Steen Holm Iversen, 19, 3
Steen Holm Iversen, 20, 1
Steen Holm Iversen, 21, 4
Steen Holm Iversen, 22, 3
Steen Holm Iversen, 23, 1
Steen Holm Iversen, 24, 3
Steen Holm Iversen, 25, 2
Tina-Mia Eriksen, 1, 3
Tina-Mia Eriksen, 2, 2
Tina-Mia Eriksen, 3, 3
Tina-Mia Eriksen, 4, 2
Tina-Mia Eriksen, 5, 2
Tina-Mia Eriksen, 6, 2
Tina-Mia Eriksen, 7, 3
Tina-Mia Eriksen, 8, 3
Tina-Mia Eriksen, 9, 2
Tina-Mia Eriksen, 10, 2
Tina-Mia Eriksen, 11, 2
Tina-Mia Eriksen, 12, 2
Tina-Mia Eriksen, 13, 3
Tina-Mia Eriksen, 14, 3
Tina-Mia Eriksen, 15, 4
Tina-Mia Eriksen, 16, 3
Tina-Mia Eriksen, 17, 3
Tina-Mia Eriksen, 18, 3
Tina-Mia Eriksen, 19, 3
Tina-Mia Eriksen, 20, 2
Tina-Mia Eriksen, 21, 3
Tina-Mia Eriksen, 22, 2
Tina-Mia Eriksen, 23, 2
Tina-Mia Eriksen, 24, 2
Tina-Mia Eriksen, 25, 2
Søren Friis Trebbien, 1, 4
Søren Friis Trebbien, 2, 1
Søren Friis Trebbien, 3, 3
Søren Friis Trebbien, 4, 3
Søren Friis Trebbien, 5, 4
Søren Friis Trebbien, 6, 2
Søren Friis Trebbien, 7, 3
Søren Friis Trebbien, 8, 3
Søren Friis Trebbien, 9, 2
Søren Friis Trebbien, 10, 3
Søren Friis Trebbien, 11, 3
Søren Friis Trebbien, 12, 4
Søren Friis Trebbien, 13, 3
Søren Friis Trebbien, 14, 2
Søren Friis Trebbien, 15, 2
Søren Friis Trebbien, 16, 3
Søren Friis Trebbien, 17, 3
Søren Friis Trebbien, 18, 3
Søren Friis Trebbien, 19, 3
Søren Friis Trebbien, 20, 2
Søren Friis Trebbien, 21, 3
Søren Friis Trebbien, 22, 4
Søren Friis Trebbien, 23, 3
Søren Friis Trebbien, 24, 3
Søren Friis Trebbien, 25, 2
Flemming Kent Vesterby Agerskov, 1, 4
Flemming Kent Vesterby Agerskov, 2, 1
Flemming Kent Vesterby Agerskov, 3, 4
Flemming Kent Vesterby Agerskov, 4, 4
Flemming Kent Vesterby Agerskov, 5, 3
Flemming Kent Vesterby Agerskov, 6, 2
Flemming Kent Vesterby Agerskov, 7, 3
Flemming Kent Vesterby Agerskov, 8, 2
Flemming Kent Vesterby Agerskov, 9, 2
Flemming Kent Vesterby Agerskov, 10, 3
Flemming Kent Vesterby Agerskov, 11, 3
Flemming Kent Vesterby Agerskov, 12, 4
Flemming Kent Vesterby Agerskov, 13, 4
Flemming Kent Vesterby Agerskov, 14, 1
Flemming Kent Vesterby Agerskov, 15, 3
Flemming Kent Vesterby Agerskov, 16, 2
Flemming Kent Vesterby Agerskov, 17, 3
Flemming Kent Vesterby Agerskov, 18, 3
Flemming Kent Vesterby Agerskov, 19, 3
Flemming Kent Vesterby Agerskov, 20, 2
Flemming Kent Vesterby Agerskov, 21, 3
Jacob Rosenberg, 1, 4
Jacob Rosenberg, 2, 2
Jacob Rosenberg, 3, 4
Jacob Rosenberg, 4, 4
Jacob Rosenberg, 5, 2
Jacob Rosenberg, 6, 2
Jacob Rosenberg, 7, 3
Jacob Rosenberg, 8, 3
Jacob Rosenberg, 9, 2
Jacob Rosenberg, 10, 3
Jacob Rosenberg, 11, 3
Jacob Rosenberg, 12, 4
Jacob Rosenberg, 13, 4
Jacob Rosenberg, 14, 3
Jacob Rosenberg, 15, 2
Jacob Rosenberg, 16, 2
Jacob Rosenberg, 17, 2
Jacob Rosenberg, 18, 2
Jacob Rosenberg, 19, 4
Jacob Rosenberg, 20, 1
Jacob Rosenberg, 21, 4
Jacob Rosenberg, 22, 4
Jacob Rosenberg, 23, 1
Jacob Rosenberg, 24, 3
Jacob Rosenberg, 25, 1
Natasja Bruun Knudsen, 1, 3
Natasja Bruun Knudsen, 2, 2
Natasja Bruun Knudsen, 3, 3
Natasja Bruun Knudsen, 4, 4
Natasja Bruun Knudsen, 5, 2
Natasja Bruun Knudsen, 6, 2
Natasja Bruun Knudsen, 7, 3
Natasja Bruun Knudsen, 8, 3
Natasja Bruun Knudsen, 9, 2
Natasja Bruun Knudsen, 10, 4
Natasja Bruun Knudsen, 11, 3
Natasja Bruun Knudsen, 12, 4
Natasja Bruun Knudsen, 13, 2
Natasja Bruun Knudsen, 14, 2
Natasja Bruun Knudsen, 15, 3
Natasja Bruun Knudsen, 16, 2
Natasja Bruun Knudsen, 17, 3
Natasja Bruun Knudsen, 18, 3
Natasja Bruun Knudsen, 19, 4
Natasja Bruun Knudsen, 20, 1
Natasja Bruun Knudsen, 21, 4
Natasja Bruun Knudsen, 22, 3
Natasja Bruun Knudsen, 23, 1
Natasja Bruun Knudsen, 24, 2
Natasja Bruun Knudsen, 25, 2
Egil Fabritius Hulgaard, 1, 4
Egil Fabritius Hulgaard, 2, 2
Egil Fabritius Hulgaard, 3, 2
Egil Fabritius Hulgaard, 4, 3
Egil Fabritius Hulgaard, 5, 3
Egil Fabritius Hulgaard, 6, 3
Egil Fabritius Hulgaard, 7, 3
Egil Fabritius Hulgaard, 8, 3
Egil Fabritius Hulgaard, 9, 2
Egil Fabritius Hulgaard, 10, 3
Egil Fabritius Hulgaard, 11, 3
Egil Fabritius Hulgaard, 12, 3
Egil Fabritius Hulgaard, 13, 3
Egil Fabritius Hulgaard, 14, 2
Egil Fabritius Hulgaard, 15, 3
Egil Fabritius Hulgaard, 16, 2
Egil Fabritius Hulgaard, 17, 2
Egil Fabritius Hulgaard, 18, 3
Egil Fabritius Hulgaard, 19, 3
Egil Fabritius Hulgaard, 20, 1
Egil Fabritius Hulgaard, 21, 3
Egil Fabritius Hulgaard, 22, 3
Egil Fabritius Hulgaard, 23, 1
Egil Fabritius Hulgaard, 24, 2
Egil Fabritius Hulgaard, 25, 3
Helle Laursen Petersen, 1, 4
Helle Laursen Petersen, 2, 1
Helle Laursen Petersen, 3, 2
Helle Laursen Petersen, 4, 3
Helle Laursen Petersen, 5, 3
Helle Laursen Petersen, 6, 2
Helle Laursen Petersen, 7, 3
Helle Laursen Petersen, 8, 3
Helle Laursen Petersen, 9, 3
Helle Laursen Petersen, 10, 3
Helle Laursen Petersen, 11, 2
Helle Laursen Petersen, 12, 3
Helle Laursen Petersen, 13, 3
Helle Laursen Petersen, 14, 2
Helle Laursen Petersen, 15, 2
Helle Laursen Petersen, 16, 3
Helle Laursen Petersen, 17, 2
Helle Laursen Petersen, 18, 3
Helle Laursen Petersen, 19, 3
Helle Laursen Petersen, 20, 1
Helle Laursen Petersen, 21, 3
Helle Laursen Petersen, 22, 2
Helle Laursen Petersen, 23, 2
Helle Laursen Petersen, 24, 2
Helle Laursen Petersen, 25, 3
Manuel Vigilius, 1, 3
Manuel Vigilius, 2, 2
Manuel Vigilius, 3, 2
Manuel Vigilius, 4, 3
Manuel Vigilius, 5, 2
Manuel Vigilius, 6, 2
Manuel Vigilius, 7, 4
Manuel Vigilius, 8, 2
Manuel Vigilius, 9, 2
Manuel Vigilius, 10, 4
Manuel Vigilius, 11, 2
Manuel Vigilius, 12, 3
Manuel Vigilius, 13, 4
Manuel Vigilius, 14, 2
Manuel Vigilius, 15, 4
Manuel Vigilius, 16, 2
Manuel Vigilius, 17, 3
Manuel Vigilius, 18, 2
Manuel Vigilius, 19, 4
Manuel Vigilius, 20, 1
Manuel Vigilius, 21, 2
Manuel Vigilius, 22, 1
Manuel Vigilius, 23, 1
Manuel Vigilius, 24, 2
Manuel Vigilius, 25, 2
Barbara Engelstoft, 1, 4
Barbara Engelstoft, 2, 1
Barbara Engelstoft, 3, 3
Barbara Engelstoft, 4, 4
Barbara Engelstoft, 5, 4
Barbara Engelstoft, 6, 3
Barbara Engelstoft, 7, 3
Barbara Engelstoft, 8, 3
Barbara Engelstoft, 9, 2
Barbara Engelstoft, 10, 2
Barbara Engelstoft, 11, 2
Barbara Engelstoft, 12, 4
Barbara Engelstoft, 13, 3
Barbara Engelstoft, 14, 1
Barbara Engelstoft, 15, 2
Barbara Engelstoft, 16, 2
Barbara Engelstoft, 17, 3
Barbara Engelstoft, 18, 3
Barbara Engelstoft, 19, 3
Barbara Engelstoft, 20, 2
Barbara Engelstoft, 21, 3
Barbara Engelstoft, 22, 2
Barbara Engelstoft, 23, 2
Barbara Engelstoft, 24, 3
Barbara Engelstoft, 25, 3
Nicklas Verne, 1, 4
Nicklas Verne, 2, 2
Nicklas Verne, 3, 3
Nicklas Verne, 4, 4
Nicklas Verne, 5, 2
Nicklas Verne, 6, 2
Nicklas Verne, 7, 4
Nicklas Verne, 8, 4
Nicklas Verne, 9, 2
Nicklas Verne, 10, 3
Nicklas Verne, 11, 2
Nicklas Verne, 12, 3
Nicklas Verne, 13, 2
Nicklas Verne, 14, 2
Nicklas Verne, 15, 2
Nicklas Verne, 16, 2
Nicklas Verne, 17, 3
Nicklas Verne, 18, 3
Nicklas Verne, 19, 3
Nicklas Verne, 20, 1
Nicklas Verne, 21, 3
Nicklas Verne, 22, 2
Nicklas Verne, 23, 2
Nicklas Verne, 24, 1
Nicklas Verne, 25, 2
Vladimir Stanic, 1, 3
Vladimir Stanic, 2, 2
Vladimir Stanic, 3, 3
Vladimir Stanic, 4, 3
Vladimir Stanic, 5, 2
Vladimir Stanic, 6, 2
Vladimir Stanic, 7, 3
Vladimir Stanic, 8, 3
Vladimir Stanic, 9, 2
Vladimir Stanic, 10, 3
Vladimir Stanic, 11, 3
Vladimir Stanic, 12, 3
Vladimir Stanic, 13, 3
Vladimir Stanic, 14, 2
Vladimir Stanic, 15, 3
Vladimir Stanic, 16, 3
Vladimir Stanic, 17, 3
Vladimir Stanic, 18, 2
Vladimir Stanic, 19, 3
Vladimir Stanic, 20, 1
Vladimir Stanic, 21, 2
Vladimir Stanic, 22, 3
Vladimir Stanic, 23, 2
Vladimir Stanic, 24, 2
Vladimir Stanic, 25, 3
Elisabeth Ildal, 1, 3
Elisabeth Ildal, 2, 2
Elisabeth Ildal, 3, 2
Elisabeth Ildal, 4, 4
Elisabeth Ildal, 5, 3
Elisabeth Ildal, 6, 2
Elisabeth Ildal, 7, 3
Elisabeth Ildal, 8, 2
Elisabeth Ildal, 9, 2
Elisabeth Ildal, 10, 3
Elisabeth Ildal, 11, 2
Elisabeth Ildal, 12, 3
Elisabeth Ildal, 13, 3
Elisabeth Ildal, 14, 1
Elisabeth Ildal, 15, 3
Elisabeth Ildal, 16, 3
Elisabeth Ildal, 17, 3
Elisabeth Ildal, 18, 3
Elisabeth Ildal, 19, 4
Elisabeth Ildal, 20, 1
Elisabeth Ildal, 21, 4
Elisabeth Ildal, 22, 3
Elisabeth Ildal, 23, 2
Elisabeth Ildal, 24, 3
Elisabeth Ildal, 25, 2
Martin Vendel Nielsen, 1, 4
Martin Vendel Nielsen, 2, 2
Martin Vendel Nielsen, 3, 2
Martin Vendel Nielsen, 4, 3
Martin Vendel Nielsen, 5, 3
Martin Vendel Nielsen, 6, 3
Martin Vendel Nielsen, 7, 4
Martin Vendel Nielsen, 8, 2
Martin Vendel Nielsen, 9, 1
Martin Vendel Nielsen, 10, 3
Martin Vendel Nielsen, 11, 3
Martin Vendel Nielsen, 12, 3
Martin Vendel Nielsen, 13, 3
Martin Vendel Nielsen, 14, 1
Martin Vendel Nielsen, 15, 4
Martin Vendel Nielsen, 16, 1
Martin Vendel Nielsen, 17, 3
Martin Vendel Nielsen, 18, 3
Martin Vendel Nielsen, 19, 4
Martin Vendel Nielsen, 20, 1
Martin Vendel Nielsen, 21, 4
Martin Vendel Nielsen, 22, 3
Martin Vendel Nielsen, 23, 1
Martin Vendel Nielsen, 24, 3
Martin Vendel Nielsen, 25, 1
John Hoppe, 1, 4
John Hoppe, 2, 2
John Hoppe, 3, 3
John Hoppe, 4, 4
John Hoppe, 5, 1
John Hoppe, 6, 3
John Hoppe, 7, 4
John Hoppe, 8, 3
John Hoppe, 9, 1
John Hoppe, 10, 4
John Hoppe, 11, 3
John Hoppe, 12, 4
John Hoppe, 13, 4
John Hoppe, 14, 2
John Hoppe, 15, 4
John Hoppe, 16, 2
John Hoppe, 17, 3
John Hoppe, 18, 3
John Hoppe, 19, 4
John Hoppe, 20, 1
John Hoppe, 21, 4
John Hoppe, 22, 4
John Hoppe, 23, 1
John Hoppe, 24, 3
John Hoppe, 25, 3
Jacob Stryhn, 1, 4
Jacob Stryhn, 2, 2
Jacob Stryhn, 3, 3
Jacob Stryhn, 4, 3
Jacob Stryhn, 5, 3
Jacob Stryhn, 6, 2
Jacob Stryhn, 7, 3
Jacob Stryhn, 8, 3
Jacob Stryhn, 9, 1
Jacob Stryhn, 10, 4
Jacob Stryhn, 11, 2
Jacob Stryhn, 12, 4
Jacob Stryhn, 13, 4
Jacob Stryhn, 14, 1
Jacob Stryhn, 15, 4
Jacob Stryhn, 16, 3
Jacob Stryhn, 17, 3
Jacob Stryhn, 18, 3
Jacob Stryhn, 19, 4
Jacob Stryhn, 20, 1
Jacob Stryhn, 21, 3
Jacob Stryhn, 22, 3
Jacob Stryhn, 23, 1
Jacob Stryhn, 24, 3
Jacob Stryhn, 25, 2
Kira Marie Peter-Hansen, 1, 4
Kira Marie Peter-Hansen, 2, 1
Kira Marie Peter-Hansen, 3, 3
Kira Marie Peter-Hansen, 4, 4
Kira Marie Peter-Hansen, 5, 4
Kira Marie Peter-Hansen, 6, 3
Kira Marie Peter-Hansen, 7, 2
Kira Marie Peter-Hansen, 8, 4
Kira Marie Peter-Hansen, 9, 1
Kira Marie Peter-Hansen, 10, 2
Kira Marie Peter-Hansen, 11, 3
Kira Marie Peter-Hansen, 12, 4
Kira Marie Peter-Hansen, 13, 3
Kira Marie Peter-Hansen, 14, 1
Kira Marie Peter-Hansen, 15, 3
Kira Marie Peter-Hansen, 16, 4
Kira Marie Peter-Hansen, 17, 4
Kira Marie Peter-Hansen, 18, 2
Kira Marie Peter-Hansen, 19, 3
Kira Marie Peter-Hansen, 20, 4
Kira Marie Peter-Hansen, 21, 4
Kira Marie Peter-Hansen, 22, 3
Kira Marie Peter-Hansen, 23, 3
Kira Marie Peter-Hansen, 24, 3
Kira Marie Peter-Hansen, 25, 4
Rasmus Nordqvist, 1, 4
Rasmus Nordqvist, 2, 1
Rasmus Nordqvist, 3, 3
Rasmus Nordqvist, 4, 4
Rasmus Nordqvist, 5, 4
Rasmus Nordqvist, 6, 3
Rasmus Nordqvist, 7, 1
Rasmus Nordqvist, 8, 4
Rasmus Nordqvist, 9, 1
Rasmus Nordqvist, 10, 1
Rasmus Nordqvist, 11, 3
Rasmus Nordqvist, 12, 4
Rasmus Nordqvist, 13, 3
Rasmus Nordqvist, 14, 1
Rasmus Nordqvist, 15, 3
Rasmus Nordqvist, 16, 4
Rasmus Nordqvist, 17, 4
Rasmus Nordqvist, 18, 1
Rasmus Nordqvist, 19, 3
Rasmus Nordqvist, 20, 4
Rasmus Nordqvist, 21, 4
Rasmus Nordqvist, 22, 4
Rasmus Nordqvist, 23, 4
Rasmus Nordqvist, 24, 3
Rasmus Nordqvist, 25, 4
Villy Søvndal, 1, 4
Villy Søvndal, 2, 1
Villy Søvndal, 3, 3
Villy Søvndal, 4, 4
Villy Søvndal, 5, 4
Villy Søvndal, 6, 4
Villy Søvndal, 7, 1
Villy Søvndal, 8, 4
Villy Søvndal, 9, 1
Villy Søvndal, 10, 1
Villy Søvndal, 11, 4
Villy Søvndal, 12, 4
Villy Søvndal, 13, 3
Villy Søvndal, 14, 1
Villy Søvndal, 15, 1
Villy Søvndal, 16, 4
Villy Søvndal, 17, 4
Villy Søvndal, 18, 2
Villy Søvndal, 19, 1
Villy Søvndal, 20, 4
Villy Søvndal, 21, 3
Villy Søvndal, 22, 4
Villy Søvndal, 23, 4
Villy Søvndal, 24, 2
Villy Søvndal, 25, 4
Rikke Lauritsen, 1, 4
Rikke Lauritsen, 2, 1
Rikke Lauritsen, 3, 3
Rikke Lauritsen, 4, 4
Rikke Lauritsen, 5, 4
Rikke Lauritsen, 6, 4
Rikke Lauritsen, 7, 1
Rikke Lauritsen, 8, 4
Rikke Lauritsen, 9, 1
Rikke Lauritsen, 10, 2
Rikke Lauritsen, 11, 4
Rikke Lauritsen, 12, 3
Rikke Lauritsen, 13, 3
Rikke Lauritsen, 14, 1
Rikke Lauritsen, 15, 3
Rikke Lauritsen, 16, 4
Rikke Lauritsen, 17, 4
Rikke Lauritsen, 18, 1
Rikke Lauritsen, 19, 2
Rikke Lauritsen, 20, 4
Rikke Lauritsen, 21, 4
Rikke Lauritsen, 22, 3
Rikke Lauritsen, 23, 4
Rikke Lauritsen, 24, 3
Rikke Lauritsen, 25, 4
Magnus Flensborg, 1, 4
Magnus Flensborg, 2, 1
Magnus Flensborg, 3, 3
Magnus Flensborg, 4, 4
Magnus Flensborg, 5, 4
Magnus Flensborg, 6, 3
Magnus Flensborg, 7, 2
Magnus Flensborg, 8, 4
Magnus Flensborg, 9, 1
Magnus Flensborg, 10, 1
Magnus Flensborg, 11, 3
Magnus Flensborg, 12, 3
Magnus Flensborg, 13, 2
Magnus Flensborg, 14, 2
Magnus Flensborg, 15, 3
Magnus Flensborg, 16, 4
Magnus Flensborg, 17, 4
Magnus Flensborg, 18, 2
Magnus Flensborg, 19, 2
Magnus Flensborg, 20, 4
Magnus Flensborg, 21, 4
Magnus Flensborg, 22, 4
Magnus Flensborg, 23, 3
Magnus Flensborg, 24, 2
Magnus Flensborg, 25, 4
Kristine Amalie Rostgård, 1, 4
Kristine Amalie Rostgård, 2, 1
Kristine Amalie Rostgård, 3, 3
Kristine Amalie Rostgård, 4, 4
Kristine Amalie Rostgård, 5, 4
Kristine Amalie Rostgård, 6, 3
Kristine Amalie Rostgård, 7, 2
Kristine Amalie Rostgård, 8, 4
Kristine Amalie Rostgård, 9, 1
Kristine Amalie Rostgård, 10, 2
Kristine Amalie Rostgård, 11, 3
Kristine Amalie Rostgård, 12, 3
Kristine Amalie Rostgård, 13, 2
Kristine Amalie Rostgård, 14, 2
Kristine Amalie Rostgård, 15, 3
Kristine Amalie Rostgård, 16, 4
Kristine Amalie Rostgård, 17, 4
Kristine Amalie Rostgård, 18, 2
Kristine Amalie Rostgård, 19, 3
Kristine Amalie Rostgård, 20, 3
Kristine Amalie Rostgård, 21, 4
Kristine Amalie Rostgård, 22, 3
Kristine Amalie Rostgård, 23, 3
Kristine Amalie Rostgård, 24, 3
Kristine Amalie Rostgård, 25, 4
Melina Andersen, 1, 3
Melina Andersen, 2, 1
Melina Andersen, 3, 3
Melina Andersen, 4, 4
Melina Andersen, 5, 4
Melina Andersen, 6, 4
Melina Andersen, 7, 2
Melina Andersen, 8, 4
Melina Andersen, 9, 1
Melina Andersen, 10, 2
Melina Andersen, 11, 3
Melina Andersen, 12, 4
Melina Andersen, 13, 3
Melina Andersen, 14, 2
Melina Andersen, 15, 4
Melina Andersen, 16, 4
Melina Andersen, 17, 4
Melina Andersen, 18, 2
Melina Andersen, 19, 3
Melina Andersen, 20, 4
Melina Andersen, 21, 4
Melina Andersen, 22, 4
Melina Andersen, 23, 3
Melina Andersen, 24, 3
Melina Andersen, 25, 4
Taner Genc, 1, 4
Taner Genc, 2, 2
Taner Genc, 3, 3
Taner Genc, 4, 4
Taner Genc, 5, 4
Taner Genc, 6, 3
Taner Genc, 7, 1
Taner Genc, 8, 4
Taner Genc, 9, 1
Taner Genc, 10, 2
Taner Genc, 11, 3
Taner Genc, 12, 4
Taner Genc, 13, 2
Taner Genc, 14, 2
Taner Genc, 15, 3
Taner Genc, 16, 4
Taner Genc, 17, 3
Taner Genc, 18, 2
Taner Genc, 19, 3
Taner Genc, 20, 4
Taner Genc, 21, 4
Taner Genc, 22, 4
Taner Genc, 23, 3
Taner Genc, 24, 3
Taner Genc, 25, 4
Andreas Grosbøll, 1, 4
Andreas Grosbøll, 2, 1
Andreas Grosbøll, 3, 4
Andreas Grosbøll, 4, 4
Andreas Grosbøll, 5, 3
Andreas Grosbøll, 6, 3
Andreas Grosbøll, 7, 1
Andreas Grosbøll, 8, 4
Andreas Grosbøll, 9, 1
Andreas Grosbøll, 10, 2
Andreas Grosbøll, 11, 3
Andreas Grosbøll, 12, 3
Andreas Grosbøll, 13, 3
Andreas Grosbøll, 14, 2
Andreas Grosbøll, 15, 2
Andreas Grosbøll, 16, 4
Andreas Grosbøll, 17, 4
Andreas Grosbøll, 18, 2
Andreas Grosbøll, 19, 2
Andreas Grosbøll, 20, 3
Andreas Grosbøll, 21, 4
Andreas Grosbøll, 22, 4
Andreas Grosbøll, 23, 4
Andreas Grosbøll, 24, 4
Andreas Grosbøll, 25, 4
Michael Egelund Andersen, 1, 4
Michael Egelund Andersen, 2, 1
Michael Egelund Andersen, 3, 3
Michael Egelund Andersen, 4, 4
Michael Egelund Andersen, 5, 4
Michael Egelund Andersen, 6, 3
Michael Egelund Andersen, 7, 2
Michael Egelund Andersen, 8, 4
Michael Egelund Andersen, 9, 1
Michael Egelund Andersen, 10, 2
Michael Egelund Andersen, 11, 3
Michael Egelund Andersen, 12, 4
Michael Egelund Andersen, 13, 3
Michael Egelund Andersen, 14, 1
Michael Egelund Andersen, 15, 3
Michael Egelund Andersen, 16, 4
Michael Egelund Andersen, 17, 4
Michael Egelund Andersen, 18, 2
Michael Egelund Andersen, 19, 3
Michael Egelund Andersen, 20, 4
Michael Egelund Andersen, 21, 4
Michael Egelund Andersen, 22, 4
Michael Egelund Andersen, 23, 2
Michael Egelund Andersen, 24, 2
Michael Egelund Andersen, 25, 4
Joan Kragh, 1, 4
Joan Kragh, 2, 1
Joan Kragh, 3, 4
Joan Kragh, 4, 4
Joan Kragh, 5, 4
Joan Kragh, 6, 4
Joan Kragh, 7, 2
Joan Kragh, 8, 4
Joan Kragh, 9, 1
Joan Kragh, 10, 2
Joan Kragh, 11, 4
Joan Kragh, 12, 4
Joan Kragh, 13, 3
Joan Kragh, 14, 1
Joan Kragh, 15, 2
Joan Kragh, 16, 4
Joan Kragh, 17, 4
Joan Kragh, 18, 2
Joan Kragh, 19, 3
Joan Kragh, 20, 4
Joan Kragh, 21, 4
Joan Kragh, 22, 4
Joan Kragh, 23, 3
Joan Kragh, 24, 3
Joan Kragh, 25, 4
Thue Grum-Schwensen, 1, 4
Thue Grum-Schwensen, 2, 2
Thue Grum-Schwensen, 3, 3
Thue Grum-Schwensen, 4, 4
Thue Grum-Schwensen, 5, 3
Thue Grum-Schwensen, 6, 3
Thue Grum-Schwensen, 7, 2
Thue Grum-Schwensen, 8, 4
Thue Grum-Schwensen, 9, 1
Thue Grum-Schwensen, 10, 2
Thue Grum-Schwensen, 11, 3
Thue Grum-Schwensen, 12, 3
Thue Grum-Schwensen, 13, 3
Thue Grum-Schwensen, 14, 2
Thue Grum-Schwensen, 15, 3
Thue Grum-Schwensen, 16, 4
Thue Grum-Schwensen, 17, 4
Thue Grum-Schwensen, 18, 2
Thue Grum-Schwensen, 19, 3
Thue Grum-Schwensen, 20, 4
Thue Grum-Schwensen, 21, 4
Thue Grum-Schwensen, 22, 4
Thue Grum-Schwensen, 23, 3
Thue Grum-Schwensen, 24, 3
Thue Grum-Schwensen, 25, 4
Mads Hvid, 1, 4
Mads Hvid, 2, 1
Mads Hvid, 3, 4
Mads Hvid, 4, 3
Mads Hvid, 5, 4
Mads Hvid, 6, 4
Mads Hvid, 7, 2
Mads Hvid, 8, 4
Mads Hvid, 9, 1
Mads Hvid, 10, 2
Mads Hvid, 11, 3
Mads Hvid, 12, 4
Mads Hvid, 13, 3
Mads Hvid, 14, 2
Mads Hvid, 15, 4
Mads Hvid, 16, 4
Mads Hvid, 17, 4
Mads Hvid, 18, 2
Mads Hvid, 19, 3
Mads Hvid, 20, 4
Mads Hvid, 21, 4
Mads Hvid, 22, 4
Mads Hvid, 23, 3
Mads Hvid, 24, 3
Mads Hvid, 25, 4
John Brandt, 1, 4
John Brandt, 2, 1
John Brandt, 3, 3
John Brandt, 4, 4
John Brandt, 5, 3
John Brandt, 6, 3
John Brandt, 7, 1
John Brandt, 8, 4
John Brandt, 9, 1
John Brandt, 10, 2
John Brandt, 11, 3
John Brandt, 12, 4
John Brandt, 13, 2
John Brandt, 14, 1
John Brandt, 15, 2
John Brandt, 16, 4
John Brandt, 17, 3
John Brandt, 18, 1
John Brandt, 19, 1
John Brandt, 20, 3
John Brandt, 21, 4
John Brandt, 22, 4
John Brandt, 23, 3
John Brandt, 24, 1
John Brandt, 25, 4
Anders Bøge, 1, 4
Anders Bøge, 2, 1
Anders Bøge, 3, 3
Anders Bøge, 4, 4
Anders Bøge, 5, 4
Anders Bøge, 6, 3
Anders Bøge, 7, 1
Anders Bøge, 8, 4
Anders Bøge, 9, 1
Anders Bøge, 10, 2
Anders Bøge, 11, 2
Anders Bøge, 12, 2
Anders Bøge, 13, 1
Anders Bøge, 14, 2
Anders Bøge, 15, 3
Anders Bøge, 16, 2
Anders Bøge, 17, 4
Anders Bøge, 18, 3
Anders Bøge, 19, 2
Anders Bøge, 20, 4
Anders Bøge, 21, 4
Anders Bøge, 22, 4
Anders Bøge, 23, 1
Anders Bøge, 24, 2
Anders Bøge, 25, 4
Pia Lieberknecht, 1, 4
Pia Lieberknecht, 2, 1
Pia Lieberknecht, 3, 3
Pia Lieberknecht, 4, 4
Pia Lieberknecht, 5, 4
Pia Lieberknecht, 6, 3
Pia Lieberknecht, 7, 1
Pia Lieberknecht, 8, 4
Pia Lieberknecht, 9, 1
Pia Lieberknecht, 10, 2
Pia Lieberknecht, 11, 3
Pia Lieberknecht, 12, 4
Pia Lieberknecht, 13, 3
Pia Lieberknecht, 14, 1
Pia Lieberknecht, 15, 3
Pia Lieberknecht, 16, 4
Pia Lieberknecht, 17, 4
Pia Lieberknecht, 18, 2
Pia Lieberknecht, 19, 3
Pia Lieberknecht, 20, 4
Pia Lieberknecht, 21, 4
Pia Lieberknecht, 22, 4
Pia Lieberknecht, 23, 3
Pia Lieberknecht, 24, 3
Pia Lieberknecht, 25, 4
Emil Njor, 1, 4
Emil Njor, 2, 1
Emil Njor, 3, 3
Emil Njor, 4, 4
Emil Njor, 5, 4
Emil Njor, 6, 3
Emil Njor, 7, 2
Emil Njor, 8, 4
Emil Njor, 9, 1
Emil Njor, 10, 2
Emil Njor, 11, 3
Emil Njor, 12, 4
Emil Njor, 13, 3
Emil Njor, 14, 1
Emil Njor, 15, 3
